Date,AMZN,GS,NVDA
2021-01-04,159.3314971923828,238.93768310546875,13.079099655151367
2021-01-05,160.92550659179688,244.284423828125,13.369585037231445
2021-01-06,156.91900634765625,257.466552734375,12.58141040802002
2021-01-07,158.10800170898438,262.9666442871094,13.308993339538574
2021-01-08,159.13499450683594,261.5511474609375,13.241920471191406
2021-01-11,155.7104949951172,264.93231201171875,13.58576488494873
2021-01-12,156.04150390625,272.4881286621094,13.44937515258789
2021-01-13,158.29449462890625,273.1463317871094,13.496252059936523
2021-01-14,156.37350463867188,277.5914306640625,13.165621757507324
2021-01-15,155.21249389648438,271.4061279296875,12.825764656066895
2021-01-19,156.03799438476562,265.265869140625,12.991081237792969
2021-01-20,163.16900634765625,261.9027099609375,13.3306884765625
2021-01-21,165.34950256347656,260.9109191894531,13.831120491027832
2021-01-22,164.6114959716797,260.928955078125,13.676529884338379
2021-01-25,164.6999969482422,255.20352172851562,13.617432594299316
2021-01-26,166.30650329589844,254.0493621826172,13.400003433227539
2021-01-27,161.62899780273438,246.4484405517578,12.883862495422363
2021-01-28,161.88099670410156,247.97218322753906,13.016761779785156
2021-01-29,160.30999755859375,244.50082397460938,12.955672264099121
2021-02-01,167.1439971923828,247.71072387695312,13.202274322509766
2021-02-02,169.0,258.7469177246094,13.521188735961914
2021-02-03,165.62649536132812,260.1716003417969,13.495004653930664
2021-02-04,166.5500030517578,264.8601379394531,13.62840461730957
2021-02-05,167.6074981689453,264.634765625,13.55534553527832
2021-02-08,166.14700317382812,270.6307067871094,14.400874137878418
2021-02-09,165.25,270.91015625,14.225834846496582
2021-02-10,164.32899475097656,274.3545227050781,14.725518226623535
2021-02-11,163.10650634765625,272.58734130859375,15.21074104309082
2021-02-12,163.885498046875,276.1939697265625,14.922002792358398
2021-02-16,163.44749450683594,281.27923583984375,15.290033340454102
2021-02-17,165.4320068359375,281.98248291015625,14.866898536682129
2021-02-18,166.4114990234375,279.42181396484375,14.790098190307617
2021-02-19,162.4949951171875,284.5792541503906,14.887344360351562
2021-02-22,159.03700256347656,285.706298828125,14.318092346191406
2021-02-23,159.72500610351562,287.81622314453125,14.104902267456055
2021-02-24,157.97650146484375,298.1221008300781,14.460963249206543
2021-02-25,152.85800170898438,295.52532958984375,13.272590637207031
2021-02-26,154.64649963378906,288.05963134765625,13.678520202636719
2021-03-01,157.3070068359375,298.64141845703125,13.805437088012695
2021-03-02,154.72650146484375,299.5647277832031,13.371081352233887
2021-03-03,150.25,302.72381591796875,12.771159172058105
2021-03-04,148.8784942626953,298.0710754394531,12.337799072265625
2021-03-05,150.0229949951172,296.3331298828125,12.428810119628906
2021-03-08,147.59750366210938,302.5065612792969,11.562838554382324
2021-03-09,153.1425018310547,299.24786376953125,12.491717338562012
2021-03-10,152.8820037841797,309.5941162109375,12.439833641052246
2021-03-11,155.67950439453125,309.6666259765625,12.963886260986328
2021-03-12,154.47450256347656,315.7405090332031,12.826698303222656
2021-03-15,154.08399963378906,313.2420959472656,13.161186218261719
2021-03-16,154.59300231933594,309.3135681152344,13.260957717895508
2021-03-17,156.7864990234375,312.2464294433594,13.310843467712402
2021-03-18,151.39950561523438,315.0072021484375,12.69350528717041
2021-03-19,153.7480010986328,311.5675354003906,12.816474914550781
2021-03-22,155.5435028076172,307.15924072265625,13.156200408935547
2021-03-23,156.875,300.31597900390625,13.040960311889648
2021-03-24,154.35350036621094,297.4917907714844,12.614188194274902
2021-03-25,152.31300354003906,299.2116394042969,12.506680488586426
2021-03-26,152.60150146484375,296.35125732421875,12.809988975524902
2021-03-29,153.7864990234375,294.8486022949219,12.918739318847656
2021-03-30,152.76449584960938,300.5332336425781,12.842414855957031
2021-03-31,154.70399475097656,295.99822998046875,13.317830085754395
2021-04-01,158.0500030517578,296.5774841308594,13.780271530151367
2021-04-05,161.3365020751953,292.8662414550781,13.955621719360352
2021-04-06,161.1909942626953,296.052490234375,13.829910278320312
2021-04-07,163.96949768066406,295.5908203125,14.111266136169434
2021-04-08,164.96499633789062,299.7456970214844,14.284371376037598
2021-04-09,168.61000061035156,299.44696044921875,14.367180824279785
2021-04-12,168.96949768066406,300.37933349609375,15.174339294433594
2021-04-13,170.0,296.6136779785156,15.64376449584961
2021-04-14,166.64999389648438,303.5566101074219,15.24218463897705
2021-04-15,168.95449829101562,306.453125,16.1004695892334
2021-04-16,169.9720001220703,309.8567199707031,15.876235961914062
2021-04-19,168.60049438476562,310.5627746582031,15.326741218566895
2021-04-20,166.7344970703125,300.41558837890625,15.136673927307129
2021-04-21,168.1009979248047,303.484130859375,15.325493812561035
2021-04-22,165.45199584960938,299.483154296875,14.81640625
2021-04-23,167.04400634765625,307.1773376464844,15.230460166931152
2021-04-26,170.4499969482422,310.9520263671875,15.442724227905273
2021-04-27,170.8715057373047,313.76708984375,15.34669303894043
2021-04-28,172.9250030517578,315.1068420410156,15.241934776306152
2021-04-29,173.5655059814453,319.50604248046875,15.289824485778809
2021-04-30,173.37100219726562,315.41455078125,14.975292205810547
2021-05-03,169.32449340820312,316.9624938964844,14.802936553955078
2021-05-04,165.593505859375,316.67279052734375,14.318544387817383
2021-05-05,163.52699279785156,323.7152099609375,14.425549507141113
2021-05-06,165.31849670410156,331.2735290527344,14.48990249633789
2021-05-07,164.58050537109375,335.7271728515625,14.778491020202637
2021-05-10,159.52450561523438,333.72662353515625,14.23323917388916
2021-05-11,161.19549560546875,325.79718017578125,14.273645401000977
2021-05-12,157.5970001220703,320.80047607421875,13.727144241333008
2021-05-13,158.07350158691406,324.7923583984375,13.63410472869873
2021-05-14,161.14500427246094,333.8080749511719,14.210542678833008
2021-05-17,163.51950073242188,334.24261474609375,14.133216857910156
2021-05-18,161.61399841308594,329.9972229003906,13.983807563781738
2021-05-19,161.58999633789062,324.40313720703125,14.033693313598633
2021-05-20,162.38400268554688,325.67047119140625,14.57919979095459
2021-05-21,160.1540069580078,331.53607177734375,14.957582473754883
2021-05-24,162.24949645996094,333.3736877441406,15.576420783996582
2021-05-25,162.95249938964844,329.95196533203125,15.61208724975586
2021-05-26,163.25799560546875,332.56805419921875,15.66421890258789
2021-05-27,161.5054931640625,336.16156005859375,15.452702522277832
2021-05-28,161.15350341796875,337.88726806640625,16.207477569580078
2021-06-01,160.9324951171875,347.35125732421875,16.227434158325195
2021-06-02,161.69949340820312,348.25946044921875,16.740013122558594
2021-06-03,159.35049438476562,353.0550842285156,16.931076049804688
2021-06-04,160.31100463867188,355.53460693359375,17.538188934326172
2021-06-07,159.90049743652344,352.5465087890625,17.578847885131836
2021-06-08,163.20550537109375,349.4039306640625,17.417217254638672
2021-06-09,164.0574951171875,347.6600036621094,17.322660446166992
2021-06-10,167.4824981689453,339.6312255859375,17.389272689819336
2021-06-11,167.3415069580078,343.3641052246094,17.78870391845703
2021-06-14,169.19349670410156,338.70477294921875,17.981801986694336
